Voltage_ch_1 ,Capacity_ch_1, Voltage_dch_1, Capacity_dch_1,Voltage_ch_2,Capacity_ch_2, Voltage_dch_2, Capacity_dch_2,Voltage_ch_3,Capacity_ch_3, Voltage_dch_3, Capacity_dch_3,Voltage_ch_4,Capacity_ch_4, Voltage_dch_4, Capacity_dch_4,Voltage_ch_5,Capacity_ch_5, Voltage_dch_5, Capacity_dch_5,Voltage_ch_6,Capacity_ch_6, Voltage_dch_6, Capacity_dch_6,Voltage_ch_7,Capacity_ch_7, Voltage_dch_7, Capacity_dch_7,Voltage_ch_8,Capacity_ch_8, Voltage_dch_8, Capacity_dch_8,Voltage_ch_9,Capacity_ch_9, Voltage_dch_9, Capacity_dch_9,Voltage_ch_10,Capacity_ch_10, Voltage_dch_10, Capacity_dch_10,Voltage_ch_11,Capacity_ch_11, Voltage_dch_11, Capacity_dch_11,Voltage_ch_12,Capacity_ch_12, Voltage_dch_12, Capacity_dch_12,Voltage_ch_13,Capacity_ch_13, Voltage_dch_13, Capacity_dch_13,Voltage_ch_14,Capacity_ch_14, Voltage_dch_14, Capacity_dch_14,Voltage_ch_15,Capacity_ch_15, Voltage_dch_15, Capacity_dch_15,Voltage_ch_16,Capacity_ch_16, Voltage_dch_16, Capacity_dch_16,Voltage_ch_17,Capacity_ch_17, Voltage_dch_17, Capacity_dch_17,Voltage_ch_18,Capacity_ch_18, Voltage_dch_18, Capacity_dch_18,Voltage_ch_19,Capacity_ch_19, Voltage_dch_19, Capacity_dch_19,Voltage_ch_20,Capacity_ch_20, Voltage_dch_20, Capacity_dch_20,Voltage_ch_21,Capacity_ch_21, Voltage_dch_21, Capacity_dch_21
3.3621,2.1671,3.2432,2.1665,3.3368,2.1672,3.2476,2.1665,3.3373,2.1673,3.2472,2.1666,3.3375,2.1673,3.2466,2.1666,3.3386,2.1674,3.2466,2.1665,3.3403,2.1675,3.2442,2.1665,3.3418,2.1675,3.2419,2.1665,3.3504,2.1676,3.2334,2.1664,3.353,2.1676,3.231,2.1664,3.3594,2.1677,3.2246,2.1663,3.3591,2.1677,3.2246,2.1663,3.3632,2.1678,3.2208,2.1662,3.3758,2.1678,3.2071,2.166,3.3699,2.1678,3.2137,2.1662,3.3754,2.1678,3.2083,2.166,3.3983,2.168,3.1844,2.1657,3.3974,2.1679,3.1864,2.1658,3.3957,2.1679,3.1907,2.166,3.4188,2.168,3.1591,2.1656,3.4123,2.168,3.1676,2.1658,3.4171,2.168,3.1618,2.1657
3.3657,2.2754,3.2423,2.2748,3.3411,2.2755,3.2465,2.2749,3.3416,2.2756,3.246,2.2749,3.3417,2.2756,3.2455,2.275,3.3428,2.2758,3.2454,2.2749,3.3446,2.2758,3.2431,2.2748,3.3462,2.2759,3.2407,2.2748,3.3545,2.276,3.2323,2.2747,3.3572,2.276,3.2299,2.2747,3.3634,2.2761,3.2235,2.2746,3.3632,2.2761,3.2236,2.2746,3.3672,2.2762,3.2198,2.2745,3.3795,2.2762,3.2061,2.2743,3.3738,2.2762,3.2126,2.2745,3.3791,2.2762,3.2071,2.2743,3.4014,2.2764,3.1832,2.2739,3.4005,2.2763,3.1851,2.2741,3.3986,2.2763,3.1892,2.2742,3.4215,2.2764,3.1577,2.2738,3.415,2.2764,3.166,2.2741,3.4198,2.2764,3.1601,2.274
3.369,2.3838,3.2413,2.3831,3.3452,2.3839,3.2454,2.3832,3.3457,2.384,3.2449,2.3832,3.3459,2.384,3.2443,2.3833,3.347,2.3842,3.2443,2.3832,3.3487,2.3842,3.242,2.3832,3.3503,2.3843,3.2396,2.3832,3.3584,2.3843,3.2312,2.383,3.3611,2.3844,3.2288,2.383,3.3673,2.3845,3.2224,2.3829,3.367,2.3845,3.2225,2.3829,3.371,2.3845,3.2187,2.3829,3.3828,2.3846,3.205,2.3826,3.3772,2.3846,3.2114,2.3828,3.3824,2.3846,3.206,2.3826,3.4042,2.3848,3.182,2.3822,3.4032,2.3847,3.1838,2.3824,3.4012,2.3847,3.1877,2.3825,3.4239,2.3848,3.1562,2.3821,3.4175,2.3847,3.1643,2.3824,3.4223,2.3848,3.1583,2.3823
3.3721,2.4922,3.2403,2.4914,3.3491,2.4923,3.2443,2.4915,3.3496,2.4923,3.2438,2.4916,3.3498,2.4924,3.2432,2.4916,3.3509,2.4925,3.2431,2.4915,3.3525,2.4926,3.2408,2.4915,3.3542,2.4926,3.2384,2.4915,3.3621,2.4927,3.2302,2.4913,3.3647,2.4928,3.2277,2.4914,3.3707,2.4929,3.2213,2.4912,3.3704,2.4929,3.2214,2.4912,3.3742,2.4929,3.2175,2.4912,3.3857,2.493,3.2039,2.4909,3.3801,2.493,3.2102,2.4911,3.3852,2.493,3.2048,2.4909,3.4067,2.4932,3.1808,2.4905,3.4056,2.4931,3.1824,2.4907,3.4036,2.493,3.1861,2.4908,3.4261,2.4932,3.1548,2.4904,3.4198,2.4931,3.1627,2.4907,3.4247,2.4932,3.1565,2.4906
3.3748,2.6005,3.2393,2.5998,3.3527,2.6006,3.2431,2.5998,3.3532,2.6007,3.2426,2.5999,3.3534,2.6007,3.242,2.6,3.3545,2.6009,3.2419,2.5999,3.3561,2.601,3.2396,2.5998,3.3578,2.601,3.2372,2.5998,3.3654,2.6011,3.2291,2.5997,3.3679,2.6011,3.2266,2.5997,3.3737,2.6013,3.2203,2.5995,3.3734,2.6013,3.2203,2.5996,3.377,2.6013,3.2164,2.5995,3.3883,2.6014,3.2028,2.5992,3.3827,2.6014,3.209,2.5994,3.3877,2.6014,3.2037,2.5992,3.409,2.6016,3.1795,2.5988,3.4077,2.6015,3.1811,2.599,3.4058,2.6014,3.1845,2.5991,3.4281,2.6016,3.1532,2.5987,3.4219,2.6015,3.161,2.599,3.4269,2.6016,3.1547,2.5988
3.377,2.7089,3.2382,2.7081,3.356,2.709,3.2419,2.7082,3.3565,2.7091,3.2414,2.7082,3.3567,2.7091,3.2408,2.7083,3.3578,2.7093,3.2407,2.7082,3.3594,2.7093,3.2385,2.7082,3.3609,2.7094,3.236,2.7081,3.3683,2.7095,3.228,2.708,3.3706,2.7095,3.2254,2.708,3.3762,2.7096,3.2191,2.7079,3.3759,2.7096,3.2191,2.7079,3.3794,2.7097,3.2152,2.7078,3.3905,2.7098,3.2016,2.7075,3.3849,2.7098,3.2078,2.7077,3.3899,2.7098,3.2024,2.7075,3.4109,2.71,3.1783,2.7071,3.4097,2.7099,3.1797,2.7073,3.4078,2.7098,3.1829,2.7074,3.43,2.71,3.1516,2.707,3.4239,2.7099,3.1593,2.7073,3.4291,2.71,3.1528,2.7071
3.379,2.8172,3.2371,2.8164,3.359,2.8173,3.2407,2.8165,3.3594,2.8174,3.2402,2.8166,3.3596,2.8175,3.2396,2.8166,3.3606,2.8176,3.2395,2.8165,3.3621,2.8177,3.2372,2.8165,3.3637,2.8178,3.2349,2.8165,3.3707,2.8178,3.2268,2.8163,3.373,2.8179,3.2243,2.8163,3.3784,2.818,3.218,2.8162,3.378,2.818,3.218,2.8162,3.3815,2.8181,3.2141,2.8161,3.3925,2.8182,3.2005,2.8158,3.3868,2.8182,3.2065,2.816,3.3918,2.8182,3.2012,2.8158,3.4127,2.8184,3.177,2.8154,3.4115,2.8183,3.1783,2.8156,3.4097,2.8182,3.1813,2.8157,3.4318,2.8184,3.1501,2.8152,3.4258,2.8183,3.1575,2.8155,3.4311,2.8183,3.1509,2.8154
3.3807,2.9256,3.2361,2.9247,3.3615,2.9257,3.2395,2.9248,3.3619,2.9258,3.239,2.9249,3.3621,2.9258,3.2384,2.925,3.363,2.926,3.2383,2.9248,3.3645,2.9261,3.236,2.9248,3.3659,2.9262,3.2337,2.9248,3.3728,2.9262,3.2257,2.9246,3.3749,2.9263,3.2231,2.9246,3.3803,2.9264,3.2168,2.9245,3.3799,2.9264,3.2168,2.9245,3.3834,2.9265,3.2129,2.9244,3.3942,2.9266,3.1993,2.9241,3.3886,2.9266,3.2052,2.9243,3.3936,2.9266,3.2,2.9241,3.4144,2.9268,3.1757,2.9236,3.4132,2.9267,3.1769,2.9239,3.4114,2.9266,3.1797,2.924,3.4335,2.9268,3.1484,2.9235,3.4277,2.9267,3.1557,2.9238,3.4331,2.9267,3.1489,2.9237
3.3821,3.0339,3.235,3.0331,3.3637,3.0341,3.2384,3.0332,3.364,3.0342,3.2379,3.0332,3.3641,3.0342,3.2372,3.0333,3.3651,3.0344,3.2371,3.0332,3.3664,3.0345,3.2349,3.0331,3.3679,3.0345,3.2325,3.0331,3.3746,3.0346,3.2245,3.0329,3.3767,3.0347,3.222,3.033,3.3819,3.0348,3.2157,3.0328,3.3816,3.0348,3.2156,3.0328,3.385,3.0349,3.2117,3.0327,3.3958,3.035,3.1981,3.0324,3.3902,3.035,3.2039,3.0326,3.3952,3.035,3.1987,3.0324,3.4159,3.0352,3.1745,3.0319,3.4148,3.0351,3.1754,3.0322,3.4132,3.035,3.178,3.0323,3.4351,3.0352,3.1468,3.0318,3.4295,3.0351,3.1539,3.0321,3.4351,3.0351,3.147,3.032
3.3835,3.1423,3.234,3.1414,3.3655,3.1424,3.2372,3.1415,3.3658,3.1425,3.2367,3.1416,3.3659,3.1425,3.2361,3.1416,3.3668,3.1428,3.2359,3.1415,3.3681,3.1428,3.2337,3.1415,3.3695,3.1429,3.2313,3.1414,3.3761,3.143,3.2234,3.1412,3.3782,3.143,3.2208,3.1413,3.3834,3.1432,3.2145,3.1411,3.3831,3.1432,3.2145,3.1411,3.3865,3.1433,3.2105,3.141,3.3973,3.1434,3.1969,3.1407,3.3917,3.1434,3.2026,3.1409,3.3967,3.1434,3.1974,3.1407,3.4174,3.1436,3.1731,3.1402,3.4163,3.1435,3.1739,3.1405,3.4148,3.1434,3.1763,3.1406,3.4367,3.1436,3.1451,3.1401,3.4312,3.1435,3.1521,3.1404,3.437,3.1435,3.145,3.1403
3.3847,3.2506,3.233,3.2497,3.3671,3.2508,3.236,3.2498,3.3674,3.2509,3.2355,3.2499,3.3675,3.2509,3.2349,3.25,3.3683,3.2511,3.2347,3.2498,3.3696,3.2512,3.2325,3.2498,3.371,3.2513,3.23,3.2498,3.3775,3.2514,3.2222,3.2496,3.3796,3.2514,3.2196,3.2496,3.3848,3.2516,3.2133,3.2494,3.3845,3.2516,3.2132,3.2495,3.3879,3.2516,3.2093,3.2493,3.3987,3.2518,3.1957,3.249,3.393,3.2517,3.2013,3.2492,3.3981,3.2518,3.1962,3.249,3.4187,3.252,3.1717,3.2485,3.4177,3.2519,3.1725,3.2487,3.4163,3.2518,3.1746,3.2489,3.4382,3.252,3.1434,3.2484,3.4329,3.2519,3.1502,3.2487,3.4388,3.2519,3.1429,3.2485
3.3857,3.359,3.2319,3.358,3.3684,3.3591,3.2349,3.3581,3.3687,3.3592,3.2344,3.3582,3.3688,3.3593,3.2337,3.3583,3.3697,3.3595,3.2335,3.3581,3.3709,3.3596,3.2313,3.3581,3.3724,3.3597,3.2288,3.3581,3.3788,3.3597,3.2211,3.3579,3.3809,3.3598,3.2184,3.3579,3.3861,3.3599,3.2121,3.3578,3.3858,3.3599,3.212,3.3578,3.3892,3.36,3.2081,3.3577,3.4,3.3601,3.1944,3.3573,3.3943,3.3601,3.1999,3.3575,3.3995,3.3602,3.1948,3.3573,3.42,3.3604,3.1704,3.3568,3.4191,3.3603,3.1709,3.357,3.4179,3.3602,3.1729,3.3572,3.4397,3.3604,3.1416,3.3566,3.4346,3.3603,3.1482,3.357,3.4406,3.3603,3.1409,3.3568
3.3867,3.4674,3.2309,3.4663,3.3696,3.4675,3.2338,3.4665,3.3699,3.4676,3.2333,3.4665,3.37,3.4676,3.2326,3.4666,3.3709,3.4679,3.2324,3.4665,3.3721,3.4679,3.2301,3.4664,3.3736,3.468,3.2276,3.4664,3.38,3.4681,3.2199,3.4662,3.382,3.4682,3.2172,3.4662,3.3872,3.4683,3.2109,3.4661,3.387,3.4683,3.2108,3.4661,3.3904,3.4684,3.2068,3.466,3.4012,3.4685,3.1932,3.4656,3.3956,3.4685,3.1986,3.4658,3.4007,3.4685,3.1935,3.4656,3.4212,3.4688,3.1689,3.465,3.4204,3.4687,3.1693,3.4653,3.4193,3.4686,3.1712,3.4655,3.4412,3.4688,3.1398,3.4649,3.4362,3.4687,3.1463,3.4653,3.4424,3.4687,3.1388,3.4651
3.3876,3.5757,3.2299,3.5747,3.3707,3.5759,3.2327,3.5748,3.3709,3.576,3.2322,3.5749,3.3711,3.576,3.2314,3.575,3.3719,3.5762,3.2312,3.5748,3.3732,3.5763,3.2289,3.5748,3.3747,3.5764,3.2264,3.5747,3.3811,3.5765,3.2187,3.5745,3.3831,3.5766,3.216,3.5746,3.3884,3.5767,3.2097,3.5744,3.3882,3.5767,3.2095,3.5744,3.3916,3.5768,3.2055,3.5743,3.4024,3.5769,3.1919,3.5739,3.3968,3.5769,3.1972,3.5742,3.402,3.5769,3.1921,3.574,3.4224,3.5772,3.1675,3.5733,3.4217,3.5771,3.1678,3.5736,3.4207,3.577,3.1694,3.5738,3.4426,3.5772,3.138,3.5732,3.4378,3.5771,3.1443,3.5736,3.4442,3.5771,3.1367,3.5734
3.3884,3.6841,3.2289,3.683,3.3717,3.6842,3.2317,3.6831,3.3719,3.6843,3.2311,3.6832,3.3721,3.6844,3.2303,3.6833,3.373,3.6846,3.23,3.6831,3.3743,3.6847,3.2278,3.6831,3.3757,3.6848,3.2252,3.683,3.3822,3.6849,3.2175,3.6828,3.3842,3.685,3.2148,3.6829,3.3894,3.6851,3.2085,3.6827,3.3893,3.6851,3.2082,3.6827,3.3927,3.6852,3.2042,3.6826,3.4035,3.6853,3.1906,3.6822,3.398,3.6853,3.1958,3.6825,3.4032,3.6853,3.1907,3.6823,3.4236,3.6856,3.1661,3.6816,3.423,3.6855,3.1662,3.6819,3.4221,3.6854,3.1676,3.6821,3.4441,3.6856,3.1362,3.6815,3.4394,3.6855,3.1423,3.6819,3.446,3.6855,3.1345,3.6817
3.3892,3.7924,3.2279,3.7913,3.3725,3.7926,3.2305,3.7914,3.3728,3.7927,3.2299,3.7915,3.373,3.7927,3.2292,3.7916,3.3739,3.793,3.2289,3.7915,3.3752,3.7931,3.2266,3.7914,3.3768,3.7932,3.224,3.7914,3.3832,3.7933,3.2163,3.7912,3.3853,3.7933,3.2135,3.7912,3.3905,3.7935,3.2072,3.791,3.3904,3.7935,3.2069,3.7911,3.3939,3.7936,3.2029,3.7909,3.4046,3.7937,3.1893,3.7905,3.3991,3.7937,3.1944,3.7908,3.4044,3.7937,3.1893,3.7906,3.4247,3.7939,3.1646,3.7899,3.4242,3.7939,3.1645,3.7902,3.4234,3.7938,3.1657,3.7904,3.4456,3.794,3.1343,3.7898,3.441,3.7939,3.1403,3.7902,3.4477,3.7939,3.1323,3.79
3.39,3.9008,3.227,3.8996,3.3734,3.9009,3.2295,3.8998,3.3737,3.9011,3.2289,3.8999,3.3739,3.9011,3.228,3.8999,3.3749,3.9014,3.2277,3.8998,3.3762,3.9014,3.2254,3.8998,3.3778,3.9015,3.2228,3.8997,3.3842,3.9016,3.2151,3.8995,3.3863,3.9017,3.2123,3.8995,3.3916,3.9019,3.2059,3.8993,3.3915,3.9019,3.2056,3.8994,3.395,3.902,3.2016,3.8992,3.4057,3.9021,3.188,3.8988,3.4002,3.9021,3.1929,3.8991,3.4055,3.9021,3.1879,3.8989,3.4258,3.9023,3.1631,3.8982,3.4254,3.9023,3.1629,3.8985,3.4248,3.9022,3.1639,3.8987,3.447,3.9024,3.1323,3.898,3.4426,3.9023,3.1382,3.8984,3.4495,3.9023,3.1301,3.8983
3.3908,4.0091,3.226,4.008,3.3743,4.0093,3.2284,4.0081,3.3746,4.0094,3.2278,4.0082,3.3748,4.0094,3.2269,4.0083,3.3758,4.0097,3.2265,4.0081,3.3772,4.0098,3.2242,4.0081,3.3788,4.0099,3.2215,4.008,3.3852,4.01,3.2138,4.0078,3.3874,4.0101,3.211,4.0078,3.3927,4.0103,3.2046,4.0076,3.3927,4.0103,3.2043,4.0077,3.3961,4.0104,3.2003,4.0075,3.4068,4.0105,3.1866,4.0071,3.4013,4.0105,3.1914,4.0074,3.4066,4.0105,3.1864,4.0072,3.4269,4.0107,3.1616,4.0065,3.4266,4.0106,3.1612,4.0068,3.4261,4.0106,3.162,4.007,3.4485,4.0108,3.1304,4.0063,3.4443,4.0107,3.1361,4.0067,3.4513,4.0107,3.1278,4.0065
3.3916,4.1175,3.225,4.1163,3.3751,4.1177,3.2273,4.1164,3.3754,4.1178,3.2266,4.1165,3.3757,4.1178,3.2257,4.1166,3.3767,4.1181,3.2253,4.1165,3.3781,4.1182,3.223,4.1164,3.3798,4.1183,3.2202,4.1163,3.3862,4.1184,3.2126,4.1161,3.3884,4.1185,3.2097,4.1162,3.3937,4.1186,3.2033,4.116,3.3938,4.1186,3.203,4.116,3.3972,4.1188,3.1989,4.1158,3.4078,4.1189,3.1852,4.1154,3.4024,4.1189,3.1899,4.1157,3.4077,4.1189,3.185,4.1155,3.428,4.1191,3.16,4.1147,3.4278,4.119,3.1595,4.1151,3.4275,4.119,3.1601,4.1153,3.4499,4.1192,3.1284,4.1146,3.4459,4.1191,3.1339,4.115,3.4531,4.1191,3.1255,4.1148
3.3924,4.2258,3.224,4.2246,3.376,4.226,3.2263,4.2247,3.3763,4.2261,3.2255,4.2248,3.3767,4.2262,3.2246,4.2249,3.3777,4.2265,3.2241,4.2248,3.3791,4.2266,3.2217,4.2247,3.3807,4.2267,3.2189,4.2247,3.3872,4.2268,3.2113,4.2244,3.3895,4.2269,3.2084,4.2245,3.3948,4.227,3.202,4.2243,3.3949,4.227,3.2016,4.2243,3.3983,4.2271,3.1975,4.2242,3.4089,4.2273,3.1839,4.2237,3.4034,4.2273,3.1885,4.224,3.4088,4.2273,3.1835,4.2238,3.4291,4.2275,3.1584,4.223,3.429,4.2274,3.1578,4.2234,3.4288,4.2273,3.1581,4.2236,3.4513,4.2276,3.1264,4.2229,3.4476,4.2275,3.1317,4.2233,3.4549,4.2275,3.1231,4.2231
3.3932,4.3342,3.223,4.3329,3.3769,4.3344,3.2252,4.3331,3.3772,4.3345,3.2244,4.3332,3.3776,4.3345,3.2234,4.3333,3.3787,4.3348,3.2229,4.3331,3.3801,4.3349,3.2205,4.3331,3.3817,4.3351,3.2177,4.333,3.3882,4.3352,3.21,4.3328,3.3905,4.3352,3.2071,4.3328,3.3958,4.3354,3.2007,4.3326,3.396,4.3354,3.2002,4.3326,3.3994,4.3355,3.1961,4.3325,3.4099,4.3357,3.1825,4.332,3.4045,4.3356,3.1869,4.3323,3.4099,4.3357,3.182,4.3321,3.4302,4.3359,3.1568,4.3313,3.4302,4.3358,3.156,4.3317,3.4301,4.3357,3.1561,4.3319,3.4528,4.336,3.1242,4.3312,3.4493,4.3359,3.1295,4.3316,3.4568,4.3359,3.1207,4.3314
3.394,4.4425,3.222,4.4413,3.3777,4.4427,3.224,4.4414,3.3781,4.4429,3.2232,4.4415,3.3785,4.4429,3.2222,4.4416,3.3796,4.4432,3.2217,4.4414,3.3811,4.4433,3.2192,4.4414,3.3827,4.4434,3.2163,4.4413,3.3892,4.4435,3.2087,4.4411,3.3916,4.4436,3.2057,4.4411,3.3969,4.4438,3.1993,4.4409,3.3971,4.4438,3.1988,4.441,3.4005,4.4439,3.1947,4.4408,3.4109,4.4441,3.181,4.4403,3.4055,4.444,3.1854,4.4406,3.4109,4.4441,3.1805,4.4404,3.4312,4.4443,3.1552,4.4396,3.4314,4.4442,3.1542,4.44,3.4315,4.4441,3.1541,4.4402,3.4543,4.4444,3.1221,4.4394,3.451,4.4443,3.1272,4.4399,3.4587,4.4443,3.1182,4.4397
3.3948,4.5509,3.221,4.5496,3.3786,4.5511,3.2229,4.5497,3.379,4.5512,3.2221,4.5498,3.3795,4.5513,3.221,4.5499,3.3806,4.5516,3.2204,4.5498,3.3821,4.5517,3.2179,4.5497,3.3837,4.5518,3.215,4.5496,3.3903,4.5519,3.2074,4.5494,3.3926,4.552,3.2043,4.5494,3.3979,4.5522,3.1979,4.5492,3.3981,4.5522,3.1974,4.5493,3.4015,4.5523,3.1933,4.5491,3.4119,4.5525,3.1796,4.5486,3.4065,4.5524,3.1838,4.5489,3.412,4.5525,3.1789,4.5487,3.4323,4.5527,3.1535,4.5479,3.4326,4.5526,3.1524,4.5482,3.4328,4.5525,3.1521,4.5485,3.4558,4.5528,3.1199,4.5477,3.4527,4.5527,3.1248,4.5482,3.4607,4.5527,3.1156,4.548
3.3956,4.6593,3.22,4.6579,3.3796,4.6595,3.2218,4.658,3.38,4.6596,3.2209,4.6582,3.3805,4.6596,3.2197,4.6583,3.3816,4.66,3.2192,4.6581,3.3831,4.6601,3.2166,4.6581,3.3848,4.6602,3.2137,4.658,3.3913,4.6603,3.206,4.6577,3.3936,4.6604,3.203,4.6578,3.399,4.6606,3.1965,4.6575,3.3992,4.6606,3.1959,4.6576,3.4026,4.6607,3.1918,4.6574,3.4129,4.6609,3.1781,4.6569,3.4075,4.6608,3.1823,4.6572,3.413,4.6609,3.1773,4.657,3.4334,4.6611,3.1518,4.6562,3.4339,4.661,3.1505,4.6565,3.4343,4.6609,3.15,4.6568,3.4574,4.6612,3.1177,4.656,3.4545,4.6611,3.1224,4.6565,3.4627,4.6611,3.1129,4.6562
3.3965,4.7676,3.219,4.7662,3.3805,4.7678,3.2206,4.7664,3.3809,4.768,3.2197,4.7665,3.3815,4.768,3.2185,4.7666,3.3825,4.7683,3.2179,4.7664,3.3841,4.7684,3.2153,4.7664,3.3858,4.7686,3.2123,4.7663,3.3924,4.7687,3.2046,4.766,3.3947,4.7688,3.2016,4.7661,3.4,4.769,3.1951,4.7658,3.4003,4.7689,3.1944,4.7659,3.4036,4.7691,3.1903,4.7657,3.4139,4.7693,3.1766,4.7652,3.4085,4.7692,3.1806,4.7655,3.4141,4.7692,3.1758,4.7653,3.4345,4.7695,3.1501,4.7644,3.4351,4.7694,3.1485,4.7648,3.4356,4.7693,3.1479,4.7651,3.459,4.7696,3.1153,4.7643,3.4563,4.7695,3.1199,4.7648,3.4648,4.7695,3.11,4.7645
3.3974,4.876,3.218,4.8746,3.3815,4.8762,3.2195,4.8747,3.3819,4.8763,3.2185,4.8748,3.3825,4.8763,3.2172,4.8749,3.3836,4.8767,3.2165,4.8748,3.3852,4.8768,3.214,4.8747,3.3869,4.8769,3.2109,4.8746,3.3934,4.877,3.2033,4.8744,3.3958,4.8772,3.2002,4.8744,3.401,4.8774,3.1937,4.8742,3.4013,4.8773,3.193,4.8742,3.4046,4.8775,3.1889,4.874,3.415,4.8776,3.1751,4.8735,3.4095,4.8776,3.1791,4.8738,3.4152,4.8776,3.1742,4.8736,3.4356,4.8779,3.1484,4.8727,3.4364,4.8778,3.1466,4.8731,3.4371,4.8777,3.1457,4.8734,3.4606,4.878,3.1129,4.8726,3.4581,4.8779,3.1173,4.8731,3.467,4.8779,3.1071,4.8728
3.3983,4.9843,3.2169,4.9829,3.3825,4.9845,3.2182,4.983,3.383,4.9847,3.2172,4.9831,3.3835,4.9847,3.2159,4.9833,3.3846,4.9851,3.2152,4.9831,3.3862,4.9852,3.2126,4.983,3.388,4.9853,3.2095,4.9829,3.3944,4.9854,3.2019,4.9827,3.3968,4.9855,3.1987,4.9827,3.402,4.9857,3.1922,4.9825,3.4023,4.9857,3.1915,4.9825,3.4056,4.9858,3.1873,4.9823,3.416,4.986,3.1735,4.9818,3.4105,4.986,3.1774,4.9821,3.4162,4.986,3.1726,4.9819,3.4368,4.9863,3.1465,4.981,3.4376,4.9862,3.1446,4.9814,3.4386,4.9861,3.1435,4.9817,3.4623,4.9864,3.1105,4.9808,3.4601,4.9863,3.1146,4.9813,3.4692,4.9863,3.1041,4.9811
3.3992,5.0927,3.2159,5.0912,3.3835,5.0929,3.217,5.0913,3.384,5.0931,3.216,5.0915,3.3846,5.0931,3.2146,5.0916,3.3857,5.0934,3.2138,5.0914,3.3873,5.0935,3.2112,5.0914,3.389,5.0937,3.2081,5.0913,3.3955,5.0938,3.2004,5.091,3.3978,5.0939,3.1973,5.091,3.4031,5.0941,3.1907,5.0908,3.4034,5.0941,3.1899,5.0909,3.4067,5.0942,3.1858,5.0907,3.417,5.0944,3.172,5.0901,3.4115,5.0944,3.1757,5.0904,3.4173,5.0944,3.1709,5.0902,3.4379,5.0947,3.1447,5.0893,3.439,5.0946,3.1425,5.0897,3.4401,5.0945,3.1413,5.09,3.464,5.0948,3.1079,5.0891,3.4621,5.0947,3.1118,5.0896,3.4716,5.0947,3.101,5.0894
3.4001,5.201,3.2148,5.1995,3.3845,5.2012,3.2158,5.1997,3.3851,5.2014,3.2146,5.1998,3.3857,5.2014,3.2133,5.1999,3.3868,5.2018,3.2125,5.1997,3.3884,5.2019,3.2098,5.1997,3.3901,5.2021,3.2066,5.1996,3.3966,5.2022,3.199,5.1993,3.3989,5.2023,3.1958,5.1994,3.4041,5.2025,3.1893,5.1991,3.4044,5.2025,3.1884,5.1992,3.4077,5.2026,3.1842,5.199,3.4181,5.2028,3.1704,5.1984,3.4126,5.2028,3.174,5.1987,3.4184,5.2028,3.1692,5.1985,3.4391,5.2031,3.1428,5.1976,3.4403,5.203,3.1404,5.198,3.4416,5.2029,3.1389,5.1983,3.4658,5.2032,3.1053,5.1974,3.4642,5.2031,3.109,5.1979,3.474,5.2031,3.0977,5.1977
3.4011,5.3094,3.2137,5.3079,3.3856,5.3096,3.2145,5.308,3.3862,5.3098,3.2133,5.3081,3.3868,5.3098,3.2119,5.3083,3.3879,5.3102,3.2111,5.3081,3.3895,5.3103,3.2083,5.308,3.3912,5.3104,3.2052,5.3079,3.3976,5.3106,3.1975,5.3076,3.3999,5.3107,3.1943,5.3077,3.4051,5.3109,3.1877,5.3074,3.4055,5.3109,3.1868,5.3075,3.4087,5.311,3.1826,5.3073,3.4192,5.3112,3.1687,5.3067,3.4136,5.3112,3.1723,5.307,3.4196,5.3112,3.1675,5.3068,3.4403,5.3115,3.1409,5.3059,3.4416,5.3114,3.1382,5.3063,3.4432,5.3113,3.1365,5.3066,3.4676,5.3116,3.1026,5.3057,3.4664,5.3115,3.1059,5.3062,3.4765,5.3115,3.0942,5.3059
3.402,5.4177,3.2126,5.4162,3.3868,5.418,3.2132,5.4163,3.3873,5.4181,3.212,5.4165,3.388,5.4181,3.2105,5.4166,3.3891,5.4185,3.2096,5.4164,3.3906,5.4186,3.2069,5.4163,3.3923,5.4188,3.2036,5.4162,3.3986,5.4189,3.196,5.416,3.401,5.4191,3.1928,5.416,3.4061,5.4193,3.1862,5.4157,3.4066,5.4193,3.1852,5.4158,3.4098,5.4194,3.181,5.4156,3.4203,5.4196,3.1671,5.415,3.4147,5.4195,3.1705,5.4153,3.4207,5.4196,3.1657,5.4151,3.4415,5.4199,3.1389,5.4141,3.443,5.4198,3.136,5.4146,3.4449,5.4197,3.1341,5.4149,3.4695,5.42,3.0997,5.414,3.4686,5.4199,3.1028,5.4145,3.4792,5.4199,3.0905,5.4142
3.403,5.5261,3.2115,5.5245,3.3879,5.5263,3.2118,5.5246,3.3885,5.5265,3.2106,5.5248,3.3891,5.5265,3.2091,5.5249,3.3902,5.5269,3.2082,5.5247,3.3917,5.527,3.2054,5.5247,3.3934,5.5272,3.2021,5.5246,3.3997,5.5273,3.1945,5.5243,3.402,5.5274,3.1912,5.5243,3.4072,5.5277,3.1846,5.524,3.4077,5.5276,3.1836,5.5241,3.4109,5.5278,3.1794,5.5239,3.4214,5.528,3.1654,5.5233,3.4158,5.5279,3.1687,5.5236,3.4219,5.528,3.1639,5.5234,3.4428,5.5283,3.1369,5.5224,3.4445,5.5282,3.1337,5.5229,3.4465,5.5281,3.1316,5.5232,3.4715,5.5284,3.0968,5.5222,3.471,5.5283,3.0995,5.5228,3.482,5.5283,3.0865,5.5225
