Voltage_ch_1 ,Capacity_ch_1, Voltage_dch_1, Capacity_dch_1,Voltage_ch_2,Capacity_ch_2, Voltage_dch_2, Capacity_dch_2,Voltage_ch_3,Capacity_ch_3, Voltage_dch_3, Capacity_dch_3,Voltage_ch_4,Capacity_ch_4, Voltage_dch_4, Capacity_dch_4,Voltage_ch_5,Capacity_ch_5, Voltage_dch_5, Capacity_dch_5,Voltage_ch_6,Capacity_ch_6, Voltage_dch_6, Capacity_dch_6,Voltage_ch_7,Capacity_ch_7, Voltage_dch_7, Capacity_dch_7,Voltage_ch_8,Capacity_ch_8, Voltage_dch_8, Capacity_dch_8,Voltage_ch_9,Capacity_ch_9, Voltage_dch_9, Capacity_dch_9,Voltage_ch_10,Capacity_ch_10, Voltage_dch_10, Capacity_dch_10,Voltage_ch_11,Capacity_ch_11, Voltage_dch_11, Capacity_dch_11,Voltage_ch_12,Capacity_ch_12, Voltage_dch_12, Capacity_dch_12,Voltage_ch_13,Capacity_ch_13, Voltage_dch_13, Capacity_dch_13,Voltage_ch_14,Capacity_ch_14, Voltage_dch_14, Capacity_dch_14,Voltage_ch_15,Capacity_ch_15, Voltage_dch_15, Capacity_dch_15,Voltage_ch_16,Capacity_ch_16, Voltage_dch_16, Capacity_dch_16,Voltage_ch_17,Capacity_ch_17, Voltage_dch_17, Capacity_dch_17,Voltage_ch_18,Capacity_ch_18, Voltage_dch_18, Capacity_dch_18,Voltage_ch_19,Capacity_ch_19, Voltage_dch_19, Capacity_dch_19,Voltage_ch_20,Capacity_ch_20, Voltage_dch_20, Capacity_dch_20,Voltage_ch_21,Capacity_ch_21, Voltage_dch_21, Capacity_dch_21
3.3186,1.0835,3.2516,1.0832,3.2894,1.0836,3.2561,1.0833,3.2895,1.0836,3.2558,1.0833,3.2893,1.0836,3.2555,1.0833,3.2903,1.0837,3.2558,1.0833,3.2919,1.0837,3.2536,1.0833,3.2931,1.0838,3.2516,1.0833,3.3027,1.0838,3.2425,1.0832,3.305,1.0838,3.2403,1.0832,3.3112,1.0839,3.2339,1.0831,3.311,1.0839,3.234,1.0831,3.3146,1.0839,3.2307,1.0831,3.3271,1.0839,3.2168,1.083,3.3205,1.0839,3.2245,1.0831,3.326,1.0839,3.2186,1.083,3.3491,1.084,3.1953,1.0828,3.3475,1.084,3.1983,1.0829,3.3455,1.0839,3.2047,1.083,3.3716,1.084,3.172,1.0828,3.3647,1.084,3.1819,1.0829,3.3701,1.084,3.1776,1.0829
3.3229,1.1919,3.2509,1.1916,3.2933,1.192,3.2555,1.1916,3.2935,1.192,3.2551,1.1916,3.2934,1.192,3.2548,1.1916,3.2945,1.1921,3.255,1.1916,3.2961,1.1921,3.2529,1.1916,3.2974,1.1921,3.2508,1.1916,3.307,1.1922,3.2417,1.1915,3.3095,1.1922,3.2395,1.1915,3.3159,1.1922,3.2331,1.1915,3.3156,1.1922,3.2332,1.1915,3.3194,1.1923,3.2298,1.1914,3.3321,1.1923,3.216,1.1913,3.3255,1.1923,3.2236,1.1914,3.3311,1.1923,3.2177,1.1913,3.3547,1.1924,3.1942,1.1911,3.3533,1.1924,3.1971,1.1912,3.3516,1.1923,3.2034,1.1913,3.3779,1.1924,3.1707,1.1911,3.3711,1.1924,3.1805,1.1912,3.3765,1.1924,3.1761,1.1911
3.3274,1.3002,3.2501,1.2999,3.2975,1.3003,3.2548,1.2999,3.2978,1.3004,3.2544,1.3,3.2977,1.3004,3.2541,1.3,3.2988,1.3005,3.2543,1.2999,3.3006,1.3005,3.2521,1.2999,3.3018,1.3005,3.2499,1.2999,3.3116,1.3005,3.2409,1.2998,3.3142,1.3006,3.2386,1.2998,3.3207,1.3006,3.2323,1.2998,3.3204,1.3006,3.2324,1.2998,3.3243,1.3007,3.2289,1.2997,3.3372,1.3007,3.215,1.2996,3.3307,1.3007,3.2225,1.2997,3.3364,1.3007,3.2167,1.2996,3.3603,1.3008,3.1932,1.2994,3.3592,1.3007,3.196,1.2995,3.3577,1.3007,3.202,1.2996,3.3839,1.3008,3.1695,1.2993,3.3772,1.3008,3.1792,1.2995,3.3827,1.3008,3.1746,1.2994
3.332,1.4086,3.2494,1.4082,3.302,1.4087,3.2541,1.4083,3.3024,1.4087,3.2537,1.4083,3.3023,1.4087,3.2533,1.4083,3.3035,1.4088,3.2534,1.4083,3.3053,1.4089,3.2513,1.4082,3.3065,1.4089,3.2491,1.4082,3.3164,1.4089,3.2401,1.4081,3.3191,1.4089,3.2378,1.4082,3.3257,1.409,3.2314,1.4081,3.3255,1.409,3.2315,1.4081,3.3295,1.409,3.228,1.408,3.3425,1.4091,3.2141,1.4079,3.336,1.4091,3.2215,1.408,3.3417,1.4091,3.2157,1.4079,3.3658,1.4092,3.1921,1.4077,3.3649,1.4091,3.1949,1.4078,3.3635,1.4091,3.2007,1.4079,3.3897,1.4092,3.1683,1.4076,3.383,1.4092,3.1778,1.4078,3.3885,1.4092,3.1731,1.4077
3.3367,1.517,3.2486,1.5165,3.3069,1.517,3.2533,1.5166,3.3074,1.5171,3.2529,1.5166,3.3074,1.5171,3.2524,1.5166,3.3085,1.5172,3.2526,1.5166,3.3104,1.5172,3.2503,1.5166,3.3116,1.5173,3.2481,1.5166,3.3215,1.5173,3.2392,1.5165,3.3242,1.5173,3.2369,1.5165,3.3309,1.5174,3.2305,1.5164,3.3307,1.5174,3.2306,1.5164,3.3347,1.5174,3.227,1.5164,3.3477,1.5175,3.2132,1.5162,3.3414,1.5175,3.2204,1.5163,3.3471,1.5175,3.2147,1.5162,3.3713,1.5176,3.1911,1.516,3.3705,1.5175,3.1937,1.5161,3.3692,1.5175,3.1993,1.5162,3.3951,1.5176,3.1671,1.5159,3.3885,1.5176,3.1764,1.5161,3.3938,1.5176,3.1716,1.516
3.3413,1.6253,3.2477,1.6248,3.3122,1.6254,3.2524,1.6249,3.3127,1.6254,3.252,1.6249,3.3127,1.6255,3.2516,1.625,3.3138,1.6256,3.2517,1.6249,3.3158,1.6256,3.2494,1.6249,3.317,1.6256,3.2472,1.6249,3.3267,1.6257,3.2383,1.6248,3.3295,1.6257,3.236,1.6248,3.3361,1.6258,3.2295,1.6247,3.3359,1.6258,3.2296,1.6247,3.34,1.6258,3.226,1.6247,3.3529,1.6259,3.2122,1.6245,3.3466,1.6259,3.2194,1.6246,3.3523,1.6259,3.2137,1.6245,3.3766,1.626,3.19,1.6242,3.3759,1.6259,3.1925,1.6244,3.3746,1.6259,3.1979,1.6245,3.4001,1.626,3.1658,1.6242,3.3935,1.626,3.175,1.6244,3.3988,1.626,3.17,1.6243
3.3458,1.7337,3.2469,1.7332,3.3175,1.7338,3.2516,1.7332,3.318,1.7338,3.2511,1.7333,3.3182,1.7338,3.2507,1.7333,3.3193,1.7339,3.2507,1.7332,3.3212,1.734,3.2485,1.7332,3.3225,1.734,3.2462,1.7332,3.3319,1.7341,3.2374,1.7331,3.3346,1.7341,3.235,1.7331,3.3411,1.7342,3.2286,1.733,3.3409,1.7342,3.2287,1.733,3.345,1.7342,3.225,1.733,3.3579,1.7343,3.2112,1.7328,3.3517,1.7343,3.2183,1.7329,3.3574,1.7343,3.2126,1.7328,3.3816,1.7344,3.1889,1.7325,3.381,1.7343,3.1913,1.7327,3.3797,1.7343,3.1965,1.7328,3.4047,1.7344,3.1645,1.7325,3.3981,1.7344,3.1736,1.7326,3.4032,1.7344,3.1684,1.7326
3.3502,1.842,3.246,1.8415,3.3228,1.8421,3.2506,1.8416,3.3233,1.8422,3.2502,1.8416,3.3234,1.8422,3.2497,1.8416,3.3245,1.8423,3.2497,1.8416,3.3264,1.8423,3.2475,1.8415,3.3278,1.8424,3.2452,1.8415,3.3368,1.8424,3.2364,1.8414,3.3395,1.8425,3.234,1.8414,3.346,1.8426,3.2276,1.8413,3.3458,1.8426,3.2277,1.8414,3.3498,1.8426,3.224,1.8413,3.3627,1.8427,3.2102,1.8411,3.3566,1.8427,3.2172,1.8412,3.3622,1.8427,3.2115,1.8411,3.3864,1.8428,3.1878,1.8408,3.3857,1.8427,3.1901,1.841,3.3844,1.8427,3.1951,1.8411,3.4088,1.8428,3.1632,1.8407,3.4023,1.8428,3.1721,1.8409,3.4072,1.8428,3.1668,1.8408
3.3543,1.9504,3.2451,1.9498,3.3278,1.9505,3.2497,1.9499,3.3283,1.9505,3.2492,1.9499,3.3284,1.9505,3.2487,1.95,3.3295,1.9507,3.2487,1.9499,3.3312,1.9507,3.2464,1.9499,3.3327,1.9508,3.2441,1.9499,3.3415,1.9508,3.2355,1.9497,3.3442,1.9509,3.233,1.9498,3.3506,1.9509,3.2266,1.9497,3.3504,1.9509,3.2267,1.9497,3.3545,1.951,3.223,1.9496,3.3673,1.951,3.2092,1.9494,3.3612,1.9511,3.216,1.9495,3.3669,1.9511,3.2105,1.9494,3.3907,1.9512,3.1867,1.9491,3.39,1.9511,3.1889,1.9492,3.3886,1.9511,3.1936,1.9494,3.4126,1.9512,3.1619,1.949,3.4059,1.9512,3.1706,1.9492,3.4108,1.9512,3.1652,1.9491
3.3583,2.0587,3.2442,2.0581,3.3325,2.0588,3.2487,2.0582,3.3329,2.0589,3.2482,2.0583,3.333,2.0589,3.2476,2.0583,3.3341,2.059,3.2477,2.0582,3.3358,2.0591,3.2453,2.0582,3.3373,2.0591,3.243,2.0582,3.346,2.0592,3.2344,2.0581,3.3487,2.0592,3.232,2.0581,3.3551,2.0593,3.2256,2.058,3.3549,2.0593,3.2257,2.058,3.3589,2.0594,3.2219,2.0579,3.3717,2.0594,3.2082,2.0577,3.3657,2.0594,3.2149,2.0579,3.3713,2.0594,3.2094,2.0577,3.3947,2.0596,3.1855,2.0574,3.3939,2.0595,3.1876,2.0575,3.3924,2.0595,3.1922,2.0577,3.4159,2.0596,3.1605,2.0573,3.4093,2.0596,3.1691,2.0575,3.4141,2.0596,3.1635,2.0574
